Identifier,Title,Author,Description,collection
ERIC_ED590377,ERIC ED590377: Dynamic Program Visualization on Android Smartphones for Novice Java Programmers,E,"Dynamic program visualization tools helps to reduce the cognitive load of students in learning programming. However, to authors' understanding there is no dynamic program visualization tool that can be used in a widely available smartphones. In this study, we design a Dynamic visualization engine for java programs that is integrated to java code interpreter that runs on android smartphones. This tool will be valuable to students who do not have access to computers. It can also increase productivity in smartphone usage among lower secondary schools students. [For the complete proceedings, see ED590271.]","['ericarchive', 'additional_collections']"
httpsierj.injournalindex.phpierjarticleview1534,EXPLORING KOTLIN’S ENHANCEMENTS FOR MULTIPLATFORM PROJECTS,P,"<span style=""color:rgba(0,0,0,0.87);font-family:'Noto Sans', '-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Oxygen-Sans', Ubuntu, Cantarell, 'Helvetica Neue', sans-serif;font-size:14px;background-color:rgb(255,255,255);"">There has been a huge growing interest for using the newly launched Kotlin programming language in scientific and engineering applications. While Java which is one of the most widely used programming languages and also the official language of Android development, there are various reasons why Java might not always be the best option for various projects. This is just because Kotlin truly offers several features, which other traditional languages (C, C++, Java and FORTRAN) lack. Also, the historic poor performance of Java stops it from being widely used in scientific applications. Kotlin 1.2 was a major new release and a big step on the road towards enabling the use of Kotlin across all components of a modern application and multiplatform project. This study explores the major improvements and feature scopes over the year of the newly released enhanced version of Kotlin.</span>","['journals_contributions', 'journals']"
the-java-language-specification-java-se-10-edition,"The Java Language Specification, Java SE 10 Edition",O,"The Java Language Specification, Java SE 10 Edition <br />",opensource
ijtret-vol2-issue1-6,STT-TTS Conversion Engine for Facilitating impaired people to Communicate on normal voice call,S,"<div>The disabled (hearing and speech impaired people) find it difficult to communicate through a normal voice call. They require the ability to talk/listen remotely and this is unavoidable in emergency situations. To rectify this problem we propose a speech recognizing and conversion android application that has two major modules- a speech to text engine and a text to speech engine. The former receives an incoming call as the input and converts it to text which will be displayed on an interface, the latter receives the text on the interface and uses android speech synthesis to generate a voice and transmits it to the other end. It is to be noted that it’s not mandatory for both users in the communication to have the app, only the disabled people will have the app.</div><div><br /></div>","['opensource', 'community']"
2018eloquentjavascript,Eloquent JavaScript: A Modern Introduction to Programming,M,"<br />JavaScript lies at the heart of almost every modern web application, from social apps like Twitter to browser-based game frameworks like Phaser and Babylon. Though simple for beginners to pick up and play with, JavaScript is a flexible, complex language that you can use to build full-scale applications.<br /><br />This much anticipated and thoroughly revised third edition of Eloquent JavaScript dives deep into the JavaScript language to show you how to write beautiful, effective code. It has been updated to reflect the current state of Java¬Script and web browsers and includes brand-new material on features like class notation, arrow functions, iterators, async functions, template strings, and block scope. A host of new exercises have also been added to test your skills and keep you on track.<br /><br />As with previous editions, Haverbeke continues to teach through extensive examples and immerses you in code from the start, while exercises and full-chapter projects give you hands-on experience with writing your own programs. You start by learning the basic structure of the JavaScript language as well as control structures, functions, and data structures to help you write basic programs. Then you'll learn about error handling and bug fixing, modularity, and asynchronous programming before moving on to web browsers and how JavaScript is used to program them. As you build projects such as an artificial life simulation, a simple programming language, and a paint program, you'll learn how to:<br /><br /><ul><li>Understand the essential elements of programming, including syntax, control, and data</li><li>Organize and clarify your code with object-oriented and functional programming techniques</li><li>Script the browser and make basic web applications</li><li>Use the DOM effectively to interact with browsers</li><li>Harness Node.js to build servers and utilities</li></ul><br /><div>Isn't it time you became fluent in the language of the Web?</div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
apostilas-java-etec,Apostilas de Programação Java,E,"Apostilas de Programação Java, Etec Prof. Horácio Augusto da Silveira, 2018.","['booksbylanguage_portuguese', 'booksbylanguage']"
intrinsically-typed-definitional-interpreters,Intrinsically-Typed Definitional Interpreters for Imperative Languages,C,"<div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">Casper Bach Poulsen; Arjen Rouvoet; Andrew Tolmach; Robbert Krebbers; Eelco Visser</span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""><br /></span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">A definitional interpreter defines the semantics of an object language in terms of the (well-known) semantics</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> of a host language, enabling understanding and validation of the semantics through execution. Combining</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> a definitional interpreter with a separate type system requires a separate type safety proof. An alternative</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> approach, at least for pure object languages, is to use a dependently-typed language to encode the object </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">language type system in the definition of the abstract syntax. Using such intrinsically-typed abstract syntax </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">definitions allows the host language type checker to verify automatically that the interpreter satisfies type</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">safety. Does this approach scale to larger and more realistic object languages, and in particular to languages </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">with mutable state and objects?</span><br /><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""><br /></span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">In this paper, we describe and demonstrate techniques and libraries in Agda that successfully scale up</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> intrinsically-typed definitional interpreters to handle rich object languages with non-trivial binding structures</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and mutable state. While the resulting interpreters are certainly more complex than the simply-typed</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">λ</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">-</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">calculus interpreter we start with, we claim that they still meet the goals of being concise, comprehensible,</span> <span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and executable, while guaranteeing type safety for more elaborate object languages. We make the following</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> contributions: (1) A</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">dependent-passing style</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">technique for hiding the weakening of indexed values as they </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">propagate through monadic code. (2) An Agda library for programming with</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">scope graphs</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">and</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">frames</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">, which</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> provides a uniform approach to dealing with name binding in intrinsically-typed interpreters. (3) Case studies</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> of intrinsically-typed definitional interpreters for the simply-typed</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">λ</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">-calculus with references (STLC+Ref)</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> and for a large subset of Middleweight Java (MJ).</span></div>","['opensource', 'community']"
java-the-complete-reference-eleventh-edition,java-the-complete-reference-eleventh-edition,S,"<span style=""color:rgb(51,51,51);font-family:'Amazon Ember', Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">The definitive guide to Java programming—thoroughly revised for long-term support release Java SE 11. Fully updated for the current version of Java, Java SE 11, This practical guide from Oracle press shows, step by step, how to design, write, troubleshoot, run, and maintain high-performance Java programs. Inside, bestselling author Herbert schildt covers the entire Java language, including its syntax, Keywords, and libraries. The book lays out cutting-edge programming techniques and best practices. Java: the complete reference, eleventh edition features clear explanations, detailed code samples, and real-world examples that demonstrate how Java can be put to work in the real world. Javabeans, servlets, applets, swing, Lambda expressions, multithreading, and the default interface method are thoroughly discussed. Readers will get full details on all of the new features and functions available in Java SE 11. Highlights: 1. Designed for novice, intermediate, and professional programmers alike 2. Source code for all examples and projects are available for download 3. Written in the clear, uncompromising style herb schildt is famous for.</span>","['opensource', 'community']"
perf-zine,Profiling & tracing with perf,J,"<blockquote><p>Want to get better at profiling & tracing your programs on Linux? perf is a super useful tool, but it’s fairly complicated and I found it hard to get started with. Over the last 4 years, I’ve learned a lot about how perf works, and I’ve compressed what I know into this zine for you!</p>
<p>You’ll learn how you can use perf to profile programs in many different programming languages (C, node.js, Java, Rust, and more!), how to count any kernel event you’re interested in (syscalls! network packets sent!), how to analyze the data that perf gives you, and more!</p>
</blockquote>

<p><a href=""https://wizardzines.com/zines/perf/"" rel=""nofollow"">https://wizardzines.com/zines/perf/</a></p>","['zines_inbox', 'zines']"
NASA_NTRS_Archive_20170012220,NASA Technical Reports Server (NTRS) 20170012220: QSPIN: A High Level Java API for Quantum Computing Experimentation,N,"QSPIN is a high level Java language API for experimentation in QC models used in the calculation of Ising spin glass ground states and related quadratic unconstrained binary optimization (QUBO) problems. The Java API is intended to facilitate research in advanced QC algorithms such as hybrid quantum-classical solvers, automatic selection of constraint and optimization parameters, and techniques for the correction and mitigation of model and solution errors. QSPIN includes high level solver objects tailored to the D-Wave quantum annealing architecture that implement hybrid quantum-classical algorithms [Booth et al.] for solving large problems on small quantum devices, elimination of variables via roof duality, and classical computing optimization methods such as GPU accelerated simulated annealing and tabu search for comparison. A test suite of documented NP-complete applications ranging from graph coloring, covering, and partitioning to integer programming and scheduling are provided to demonstrate current capabilities.","['NASA_NTRS_Archive', 'additional_collections']"
DTIC_AD1043395,DTIC AD1043395: Verified compilation of Concurrent Managed Languages,D,"The goal of the Havoc project was to explore new proof techniques and methodologies that would enable scalable and modular verification of modern concurrent programming languages like Java or C# . The efforts undertaken during the lifetime of this effort focused on (a) new proof techniques, specifically the use of refinement methods and tactics to simplify reasoning about interferences in proving invariants about concurrent code; (b) incorporating precise notions of memory models, both at the processor and language level, to enable compilation to exploit and be faithful to language definitions and processor features; (c) new designs for compiler intermediate representations that facilitate mechanized proofs and verification; and (d) a realistic case study that combines these ideas to prove the correctness of a state-of-the-art concurrent garbage collector.","['dticarchive', 'additional_collections']"
ERIC_EJ1161807,ERIC EJ1161807: The Effect of Animation in Multimedia Computer-Based Learning and Learning Style to the Learning Results,E,"The effectiveness of a learning depends on four main elements, they are content, desired learning outcome, instructional method and the delivery media. The integration of those four elements can be manifested into a learning module which is called multimedia learning or learning by using multimedia. In learning context by using computer-based multimedia, there are two main things that need to be noticed so that the learning process can run effectively: how the content is presented, and what the learner's chosen way in accepting and processing the information into a meaningful knowledge. First it is related with the way to visualize the content and how people learn. The second one is related with the learning style of the learner. This research aims to investigate the effect of the type of visualization--static vs animated--on a multimedia computer-based learning, and learning styles--visual vs verbal, towards the students' capability in applying the concepts, procedures, principles of Java programming. Visualization type act as independent variables, and learning styles of the students act as a moderator variable. Moreover, the instructional strategies followed the Component Display Theory of Merril, and the format of presentation of multimedia followed the Seven Principles of Multimedia Learning of Mayer and Moreno. Learning with the multimedia computer-based learning has been done in the classroom. The subject of this research was the student of STMIK-STIKOM Bali in odd semester 2016-2017 which followed the course of Java programming. The Design experiments used multivariate analysis of variance, MANOVA 2 x 2, with a large sample of 138 students in 4 classes. Based on the results of the analysis, it can be concluded that the animation in multimedia interactive learning gave a positive effect in improving students' learning outcomes, particularly in the applying the concepts, procedures, and principles of Java programming. The difference of students' learning styles--visual or verbal, it can also gave the different effect in students' learning results acquisition. There was no interaction effect between the factors of visualization type and learning styles.","['ericarchive', 'additional_collections']"
the-java-language-specification-java-se-9-edition,"The Java Language Specification, Java SE 9 Edition",O,"The Java Language Specification, Java SE 9 Edition<br />",opensource
android-8.7-cc,The Busy Coder's Guide to Android Development (Version 8.7),M,"<p>Do you want comprehensive information about how to develop Android apps? This book contains over 200 chapters, covering everything from the first steps in getting an app going to advanced development techniques. Use the search field in the nav bar to see what is inside this book and the rest of the CommonsWare library!</p>

<p>This book is published in PDF, EPUB, and MOBI/Kindle formats, for use in your favorite digital book reader. Or, read directly in your Web browser on <a href=""https://wares.commonsware.com"" rel=""nofollow"">the Warescription site</a>, complete with full-text searching.</p>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
ERIC_EJ1140879,ERIC EJ1140879: Java vs. Python Coverage of Introductory Programming Concepts: A Textbook Analysis,E,"In this research, we compare two languages, Java and Python, by performing a content analysis of words in textbooks that describe important programming concepts. Our goal is to determine which language has better textbook support for teaching introductory programming courses. We used the TextSTAT program to count how often our list of concept words appear in a sample of Java and Python textbooks. We summarize and compare the results, leading to several conclusions that relate to the choice of language for a CS0 or CS1 course.","['ericarchive', 'additional_collections']"
ERIC_EJ1142289,ERIC EJ1142289: Understanding Learners' Motivation and Learning Strategies in MOOCs,E,"MOOCs (Massive Open Online Courses) have changed the way in which OER (Open Educational Resources) are bundled by teachers and consumed by learners. MOOCs represent an evolution towards the production and offering of structured quality OER. Many institutions that were initially reluctant to providing OER have, however, joined the MOOC wave. Nevertheless, MOOCs detractors strongly criticize their high dropout rates. The dropout rate is a commonly accepted metric of success for traditional education, but it may not be as suitable when dealing with OER, in general, and with MOOCs, in particular, since learners' motivations to take a course are very diverse, and certain self-regulated learning strategies are required to tackle the lack of personalized tutoring and keep pace in the course. This paper presents an empirical study on the motivation and learning strategies of MOOC learners. Six thousand three hundred and thirty-five learners from 160 countries answered a self-report 7-point Likert-type questionnaire based on the Motivated Strategies for Learning Questionnaire (MSLQ) as part of a MOOC titled ""Introduction to Programming with Java"". Results indicate that learners were highly motivated and confident to do well in the course. Learning strategies, however, can be improved, especially regarding time management.","['ericarchive', 'additional_collections']"
NASA_NTRS_Archive_20170004398,NASA Technical Reports Server (NTRS) 20170004398: Electronics and Software Engineer for Robotics Project Intern,N,"I was assigned to mentor high school students for the 2017 First Robotics Competition. Using a team based approach, I worked with the students to program the robot and applied my electrical background to build the robot from start to finish. I worked with students who had an interest in electrical engineering to teach them about voltage, current, pulse width modulation, solenoids, electromagnets, relays, DC motors, DC motor controllers, crimping and soldering electrical components, Java programming, and robotic simulation. For the simulation, we worked together to generate graphics files, write simulator description format code, operate Linux, and operate SOLIDWORKS. Upon completion of the FRC season, I transitioned over to providing full time support for the LCS hardware team. During this phase of my internship I helped my co-intern write test steps for two networking hardware DVTs , as well as run cables and update cable running lists.","['NASA_NTRS_Archive', 'additional_collections']"
arxiv-1703.10674,User Interface Design Smell: Automatic Detection and Refactoring of Blob Listeners,Arnaud Blouin,"User Interfaces (UIs) intensively rely on event-driven programming: widgets send UI events, which capture users' interactions, to dedicated objects called controllers. Controllers use several UI listeners that handle these events to produce UI commands. First, we reveal the presence of design smells in the code that describes and controls UIs. Second, we demonstrate that specific code analyses are necessary to analyze and refactor UI code, because of its coupling with the rest of the code. We conducted an empirical study on four large Java Swing and SWT open-source software systems. We study to what extent the number of UI commands that a UI listener can produce has an impact on the change- and fault-proneness of the UI listener code. We develop a static code analysis for detecting UI commands in the code. We identify a new type of design smell, called Blob Listener that characterizes UI listeners that can produce more than two UI commands. We propose a systematic static code analysis procedure that searches for Blob Listeners that we implement in InspectorGuidget. We conducted experiments on the four software systems for which we manually identified 53 instances of Blob Listener. InspectorGuidget successfully detected 52 Blob Listeners out of 53. The results exhibit a precision of 81.25% and a recall of 98.11%. We then developed a semi-automatically and behavior-preserving refactoring process to remove Blob Listeners. 49.06% of the 53 Blob Listeners were automatically refactored. Patches for JabRef, and FreeCol have been accepted and merged. Discussions with developers of the four software systems assess the relevance of the Blob Listener. This work shows that UI code also suffers from design smells that have to be identified and characterized. We argue that studies have to be conducted to find other UI design smells and tools that analyze UI code must be developed.","['arxiv', 'journals']"
arxiv-1703.08803,Automatic Detection of GUI Design Smells: The Case of Blob Listener,Valéria Lelli,"Graphical User Interfaces (GUIs) intensively rely on event-driven programming: widgets send GUI events, which capture users' interactions, to dedicated objects called controllers. Controllers implement several GUI listeners that handle these events to produce GUI commands. In this work, we conducted an empirical study on 13 large Java Swing open-source software systems. We study to what extent the number of GUI commands that a GUI listener can produce has an impact on the change-and fault-proneness of the GUI listener code. We identify a new type of design smell, called Blob listener that characterizes GUI listeners that can produce more than two GUI commands. We show that 21 % of the analyzed GUI controllers are Blob listeners. We propose a systematic static code analysis procedure that searches for Blob listener that we implement in InspectorGuidget. We conducted experiments on six software systems for which we manually identified 37 instances of Blob listener. InspectorGuidget successfully detected 36 Blob listeners out of 37. The results exhibit a precision of 97.37 % and a recall of 97.59 %. Finally, we propose coding practices to avoid the use of Blob listeners.","['arxiv', 'journals']"
arxiv-1703.06576,A Model-Derivation Framework for Software Analysis,Bugra M. Yildiz,"Model-based verification allows to express behavioral correctness conditions like the validity of execution states, boundaries of variables or timing at a high level of abstraction and affirm that they are satisfied by a software system. However, this requires expressive models which are difficult and cumbersome to create and maintain by hand. This paper presents a framework that automatically derives behavioral models from real-sized Java programs. Our framework builds on the EMF/ECore technology and provides a tool that creates an initial model from Java bytecode, as well as a series of transformations that simplify the model and eventually output a timed-automata model that can be processed by a model checker such as UPPAAL. The framework has the following properties: (1) consistency of models with software, (2) extensibility of the model derivation process, (3) scalability and (4) expressiveness of models. We report several case studies to validate how our framework satisfies these properties.","['arxiv', 'journals']"
NASA_NTRS_Archive_20170002277,NASA Technical Reports Server (NTRS) 20170002277: Ground System Architectures Workshop GMSEC SERVICES SUITE (GSS): an Agile Development Story,N,"The GMSEC (Goddard Mission Services Evolution Center) Services Suite (GSS) is a collection of tools and software services along with a robust customizable web-based portal that enables the user to capture, monitor, report, and analyze system-wide GMSEC data. Given our plug-and-play architecture and the needs for rapid system development, we opted to follow the Scrum Agile Methodology for software development. Being one of the first few projects to implement the Agile methodology at NASA GSFC, in this presentation we will present our approaches, tools, successes, and challenges in implementing this methodology. The GMSEC architecture provides a scalable, extensible ground and flight system for existing and future missions. GMSEC comes with a robust Application Programming Interface (GMSEC API) and a core set of Java-based GMSEC components that facilitate the development of a GMSEC-based ground system. Over the past few years, we have seen an upbeat in the number of customers who are moving from a native desktop application environment to a web based environment particularly for data monitoring and analysis. We also see a need to provide separation of the business logic from the GUI display for our Java-based components and also to consolidate all the GUI displays into one interface. This combination of separation and consolidation brings immediate value to a GMSEC-based ground system through increased ease of data access via a uniform interface, built-in security measures, centralized configuration management, and ease of feature extensibility.","['NASA_NTRS_Archive', 'additional_collections']"
arxiv-1702.07103,Discriminating Traces with Time,Saeid Tizpaz-Niari,"What properties about the internals of a program explain the possible differences in its overall running time for different inputs? In this paper, we propose a formal framework for considering this question we dub trace-set discrimination. We show that even though the algorithmic problem of computing maximum likelihood discriminants is NP-hard, approaches based on integer linear programming (ILP) and decision tree learning can be useful in zeroing-in on the program internals. On a set of Java benchmarks, we find that compactly-represented decision trees scalably discriminate with high accuracy---more scalably than maximum likelihood discriminants and with comparable accuracy. We demonstrate on three larger case studies how decision-tree discriminants produced by our tool are useful for debugging timing side-channel vulnerabilities (i.e., where a malicious observer infers secrets simply from passively watching execution times) and availability vulnerabilities.","['arxiv', 'journals']"
arxiv-1702.05510,Java Code Analysis and Transformation into AWS Lambda Functions,Josef Spillner,"Software developers are faced with the issue of either adapting their programming model to the execution model (e.g. cloud platforms) or finding appropriate tools to adapt the model and code automatically. A recent execution model which would benefit from automated enablement is Function-as-a-Service. Automating this process requires a pipeline which includes steps for code analysis, transformation and deployment. In this paper, we outline the design and runtime characteristics of Podilizer, a tool which implements the pipeline specifically for Java source code as input and AWS Lambda as output. We contribute technical and economic metrics about this concrete 'FaaSification' process by observing the behaviour of Podilizer with two representative Java software projects.","['arxiv', 'journals']"
DTIC_AD1027177,"DTIC AD1027177: Statis Program Analysis for Reliable, Trusted Apps",D,"This report presents three main contributions of the SPARTA project, which was part of DARPAs Automated Program Analysis for Cybersecurity (APAC) program. The first contribution, is a model for collaborative verification of information flow for a high-integrity app store. The second contribution is analyses for implicit control flow that improve precision of downstream analyses. The third contribution is improvements to the Checker Framework. The Checker Framework is an open-source tool that enhances Javas type system to make it more powerful and useful.","['dticarchive', 'additional_collections']"
arxiv-1701.04045,Static Detection of DoS Vulnerabilities in Programs that use Regular Expressions (Extended Version),Valentin Wüstholz,"In an algorithmic complexity attack, a malicious party takes advantage of the worst-case behavior of an algorithm to cause denial-of-service. A prominent algorithmic complexity attack is regular expression denial-of-service (ReDoS), in which the attacker exploits a vulnerable regular expression by providing a carefully-crafted input string that triggers worst-case behavior of the matching algorithm. This paper proposes a technique for automatically finding ReDoS vulnerabilities in programs. Specifically, our approach automatically identifies vulnerable regular expressions in the program and determines whether an ""evil"" input string can be matched against a vulnerable regular expression. We have implemented our proposed approach in a tool called REXPLOITER and found 41 exploitable security vulnerabilities in Java web applications.","['arxiv', 'journals']"
arxiv-1701.02284,DeepDSL: A Compilation-based Domain-Specific Language for Deep Learning,Tian Zhao,"In recent years, Deep Learning (DL) has found great success in domains such as multimedia understanding. However, the complex nature of multimedia data makes it difficult to develop DL-based software. The state-of-the art tools, such as Caffe, TensorFlow, Torch7, and CNTK, while are successful in their applicable domains, are programming libraries with fixed user interface, internal representation, and execution environment. This makes it difficult to implement portable and customized DL applications. In this paper, we present DeepDSL, a domain specific language (DSL) embedded in Scala, that compiles deep networks written in DeepDSL to Java source code. Deep DSL provides (1) intuitive constructs to support compact encoding of deep networks; (2) symbolic gradient derivation of the networks; (3) static analysis for memory consumption and error detection; and (4) DSL-level optimization to improve memory and runtime efficiency. DeepDSL programs are compiled into compact, efficient, customizable, and portable Java source code, which operates the CUDA and CUDNN interfaces running on Nvidia GPU via a Java Native Interface (JNI) library. We evaluated DeepDSL with a number of popular DL networks. Our experiments show that the compiled programs have very competitive runtime performance and memory efficiency compared to the existing libraries.","['arxiv', 'journals']"
DTIC_AD1028781,DTIC AD1028781: Enhancement of the Logistics Battle Command Model: Architecture Upgrades and Attrition Module Development,D,This project enhances the capabilities of the Logistics Battle Command (LBC) model in two key areas: updating the underlying software architecture from 32-bit Java (1.6) to 64-bit Java (1.8) and the development and implementation of a dynamic attrition module.,"['dticarchive', 'additional_collections']"
arxiv-1701.00634,A Practical Study of Control in Objected-Oriented--Functional--Logic Programming with Paisley,Baltasar Trancón y Widemann,"Paisley is an extensible lightweight embedded domain-specific language for nondeterministic pattern matching in Java. Using simple APIs and programming idioms, it brings the power of functional-logic processing of arbitrary data objects to the Java platform, without constraining the underlying object-oriented semantics. Here we present an extension to the Paisley framework that adds pattern-based control flow. It exploits recent additions to the Java language, namely functional interfaces and lambda expressions, for an explicit and transparent continuation-passing style approach to control. We evaluate the practical impact of the novel features on a real-world case study that reengineers a third-party open-source project to use Paisley in place of conventional object-oriented data query idioms. We find the approach viable for incremental refactoring of legacy code, with significant qualitative improvements regarding separation of concerns, clarity and intentionality, thus making for easier code understanding, testing and debugging.","['arxiv', 'journals']"
ERIC_EJ1163238,ERIC EJ1163238: Some Aspects of Grading Java Code Submissions in MOOCs,E,"Recently, massive open online courses (MOOCs) have been offering a new online approach in the field of distance learning and online education. A typical MOOC course consists of video lectures, reading material and easily accessible tests for students. For a computer programming course, it is important to provide interactive, dynamic, online coding exercises and more complex programming assignments for learners. It is expedient for the students to receive prompt feedback on their coding submissions. Although MOOC automated programme evaluation subsystem is capable of assessing source programme files that are in learning management systems, in MOOC systems there is a grader that is responsible for evaluating students' assignments with the result that course staff would be required to assess thousands of programmes submitted by the participants of the course without the benefit of an automatic grader. This paper presents a new concept for grading programming submissions of students and improved techniques based on the Java unit testing framework that enables automatic grading of code chunks. Some examples are also given such as the creation of unique exercises by dynamically generating the parameters of the assignment in a MOOC programming course combined with the kind of coding style recognition to teach coding standards.","['ericarchive', 'additional_collections']"
ProgrammingBasicsJavaCourseSoftUni,Programming Basics Java Course @ SoftUni,S,Programming Basics with Java course @ SoftUni - Oct 2017,"['opensource_media', 'community']"
androidappsforab0000jack_i1p6,Android apps for absolute beginners : covering Android 7 ,J,"['1 online resource', ""Get your first Android apps up and running with the help of plain English and practical examples. If you have a great idea for an Android app, but have never programmed before, then this book is for you. Android Apps for Absolute Beginners cuts through the fog of jargon and mystery that surrounds Android app development, and gives you simple, step-by-step instructions to get you started. This book teaches Android application development in language anyone can understand, giving you the best possible start in Android development. It provides clean, straightforward examples that make learning easy, allowing you to pick up the concepts without fuss. It offers clear code descriptions and layout so that you can get your apps running as soon as possible Although this book covers what's new in Android 7, it is also backwards compatible to cover some of the previous Android releases. You will: Download, install, and configure the latest software needed for Android app development Work efficiently using an integrated development environment (IDE) Build useful, attractive applications and get them working immediately Create apps with ease using XML markup and drag-and-drop graphical layout editors Use new media and graphics to skin your app so that it has maximum appeal Create advanced apps combining XML, Java and new media content"", 'Online resource; title from PDF title page (EBSCO, viewed March 21, 2017)', 'An introduction to Android 7.0 Nougat -- Setting up an Android studio development system -- An introduction to the Android studio integrated development environment -- Introduction to XML: defining an Android app, its design, and constants -- Introduction to Java: objects, methods, classes, and interfaces -- Android user interface design: using activity, view and viewgroup classes -- Making apps interactive: events and intents -- Android design patterns : UI design paradigms -- Android graphic design: making your UI designs visual -- Android animation: image and procedural animation -- Digital video: streaming video, MediaPlayer, and MediaController classes -- Digital audio: sequencing audio using SoundPool -- Android services and threads: background processing -- Android content providers: datastore concepts', 'Includes bibliographical references']","['printdisabled', 'internetarchivebooks', 'inlibrary']"
androidstudio30d0000smyt,Android Studio 3.0 development essentials : Android 8 edition,S,"['xix, 701 pages : 24 cm', 'Fully updated for Android Studio 3.0 and Android 8, the goal of this book is to teach the skills necessary to develop Android based applications using the Android Studio Integrated Development Environment (IDE), the Android 8 Software Development Kit (SDK) and the Java programming language. Beginning with the basics, this book provides an outline of the steps necessary to set up an Android development and testing environment. An overview of Android Studio is included covering areas such as tool windows, the code editor and the Layout Editor tool. An introduction to the architecture of Android is followed by an in-depth look at the design of Android applications and user interfaces using the Android Studio environment. More advanced topics such as database management, content providers and intents are also covered, as are touch screen handling, gesture recognition, camera access and the playback and recording of both video and audio. This edition of the book also covers printing, transitions and cloud-based file storage -- page 4 of cover']","['printdisabled', 'internetarchivebooks', 'inlibrary']"
