Identifier,Title,Author,Description,collection
10.11591ijres.v11.i1.pp34-48,Design and implementation of an automated office environment  system using embedded sensors,Unknown Author,"Office automation is the process using machines with the help of embedded 
computing perform the office activities and its tools and applications. The 
office automated using computer-aided processing stored, visual and audio 
data to simplify, improve, and automate the power saving and time 
management of the organization. A very important component of office 
automation concerns the automation of employee centred activities such as 
authentication, automatic alerting of appointments and automatic powering 
on/off personal computer. The employee image is captured using Java media 
framework, attendance records for all employees is gathered and processed 
automatically, and they can be accessed from the database on a monthly or 
weekly basis. The various software and hardware components of the system 
were developed and integrated to form the Exypnos Office System and 
validated on real life scenarios. Java proved to be a versatile platform for 
implementing a project of this nature with diverse requirements. Web 
camera interfacing and image capturing are implemented in the Java 
environment with the help of Java media framework (JMF). Java short 
message service (SMS) application programming interface (API) and 
Bluetooth technology is used for sending schedules through SMS. Radio 
frequency identification (RFID) systems use many different frequencies, but 
the most common and widely used and supported by our reader is 125 kHz. 
Office automation systems have more benefits to an organization. The 
project is implemented on MS Windows platform and in future can be 
implemented in Linux platform.
","['journals_contributions', 'journals']"
the-java-language-specification-java-se-18-edition,"The Java Language Specification, Java SE 18 Edition",O,"The Java Language Specification, Java SE 18 Edition <br />",opensource
iuliana-cosmina-java-17-for-absolute-beginners-learn-the-fundamentals-of-java-pr,Java 17 For Absolute Beginners Learn The Fundamentals Of Java Programming Apress ( 2022),I,Java Programming for absolute beginners,"['opensource', 'community']"
the-java-language-specification-java-se-17-edition,"The Java Language Specification, Java SE 17 Edition",O,"The Java Language Specification, Java SE 17 Edition",opensource
the-java-language-specification-java-se-16-edition,"The Java Language Specification, Java SE 16 Edition",O,"The Java Language Specification, Java SE 16 Edition <br />",opensource
ERIC_ED615543,ERIC ED615543: Knowing &quot;When&quot; and &quot;Where&quot;: Temporal-ASTNN for Student Learning Progression in Novice Programming Tasks,E,"As students learn how to program, both their programming code and their understanding of it evolves over time. In this work, we present a general data-driven approach, named ""Temporal-ASTNN"" for modeling student learning progression in open-ended programming domains. Temporal-ASTNN combines a novel neural network model based on abstract syntactic trees (AST), named ASTNN, and Long-Short Term Memory (LSTM) model. ASTNN handles the ""linguistic"" nature of student programming code, while LSTM handles the ""temporal"" nature of student learning progression. The effectiveness of ASTNN is first compared against other models including a state-of-the-art algorithm, Code2Vec across two programming domains: iSnap and Java on the task of program classification (""correct"" or ""incorrect""). Then the proposed temporal-ASTNN is compared against the original ASTNN and other temporal models on a challenging task of student success early prediction. Our results show that Temporal-ASTNN can achieve the best performance with only the first 4-minute temporal data and it continues to outperform all other models with longer trajectories. [For the full proceedings, see ED615472.]","['ericarchive', 'additional_collections']"
doi-10.11591eei.v9i5.2268,An improved ant colony optimization algorithm for wire optimization,B,"Wire optimization has become one of the greatest challenges in today’s
circuit design. This paper presents a method for wire optimization in circuit
routing using an improved ant colony optimization with Steiner nodes
(ACOSN) algorithm. Circuit delay and power dissipation are primarily
affected by the length of the routed wire. Thus, the main goal of this
proposed algorithm is to find the shortest route from one point to another
using an algorithm that relies on the artificial behavior of ants. The algorithm
is implemented in the JAVA programming language. The proposed ACOSN
algorithm is compared with the conventional ant colony optimization (ACO)
algorithm in terms of efficiency and routing performance when applied to
three types of circuits: emitter-coupled logic, 741 output and a cascode
amplifier. The performance of the proposed method is analyzed based on
circuit information such as total wire routing, total number of nets, total wire
reduction, terminals per net and total terminals. From the simulation analysis,
it is shown that the proposed ACOSN algorithm gives the most benefit to
complex circuits, where it successfully reduces the wire length by 21.52% for
a cascode amplifier circuit, 14.49% for a 741 output circuit, and 10.43% for
emitter-coupled logic circuit. ","['folkscanomy_academic', 'folkscanomy', 'additional_collections']"
the-java-language-specification-java-se-15-edition,"The Java Language Specification, Java SE 15 Edition",O,"The Java Language Specification, Java SE 15 Edition",opensource
ERIC_ED608053,ERIC ED608053: Student Teamwork on Programming Projects What Can GitHub Logs Show Us?,E,"Teamwork, often mediated by version control systems such as Git and Apache Subversion (SVN), is central to professional programming. As a consequence, many colleges are incorporating both collaboration and online development environments into their curricula even in introductory courses. In this research, we collected GitHub logs from two programming projects in two offerings of a CS2 Java programming course for computer science majors. Students worked in pairs for both projects (one optional, the other mandatory) in each year. We used the students' GitHub history to classify the student teams into three groups, ""collaborative,"" ""cooperative,"" or ""solo-submit,"" based on the division of labor. We then calculated different metrics for students' teamwork including the total number and the average number of commits in different parts of the projects and used these metrics to predict the students' teamwork style. Our findings show that we can identify the students' teamwork style automatically from their submission logs. This work helps us to better understand novices' habits while using version control systems. These habits can identify the harmful working styles among them and might lead to the development of automatic scaffolds for teamwork and peer support in the future. [For the full proceedings, see ED607784.]","['ericarchive', 'additional_collections']"
most-essential-concepts-of-java-script,Most Essential Concepts Of Java Script,S,An E Book containing the most essential concepts of the JavaScript Programming language explained in the form of articles. The book is authored by Satyapriya Mishra & Bhanu Maniktahla.<div>This is part of notes prepared while training for code2stepup.com.</div><div> </div>,"['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
js-the-first-20-years,JavaScript: The First 20 Years,B,"<div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">How a sidekick scripting language for Java, created at Netscape in a ten-day hack, ships first as a de facto</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> Web standard and eventually becomes the world’s most widely used programming language. This paper tells</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> the story of the creation, design, evolution, and standardization of the JavaScript language over the period of</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> 1995-2015. But the story is not only about the technical details of the language. It is also the story of how</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> people and organizations competed and collaborated to shape the JavaScript language which dominates the</span><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""> Web of 2020.</span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr""><br /></span></div><div><span style=""font-size:14.944px;font-family:sans-serif;"" dir=""ltr"">DOI: https://dl.acm.org/doi/10.1145/3386327<br /></span></div>","['opensource', 'community']"
2020-05-023-njstr,2020 05 023 NJSTR,O,"This paper presents a design and implementation of a fingerprintbased class attendance management system for convenient, efficient
and effective record keeping of lectures. The class attendance
management system was designed using Java, MySQL, for the
backend and HTML, CSS, for the frontend through various platforms
such as android studio. The system was carried out to meet both
functional and non-functional requirements of the educational
system as well as achieving a stable, maintainable, secure and
reliable system. Testing was carried out to ensure the system
requirements were met. ","['opensource', 'community']"
scope-of-android-mobile-application-development-in-india,Scope of Android Mobile Application Development in India,M,"<span style=""color:rgb(51,51,51);font-family:'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:14px;background-color:rgb(255,255,255);"">Android accounts for approximately 85% of all devices sold today. Android Application Development simply means developing new applications that can run on the devices powered by android operating system. Google states that ""Android applications can be written using Kotlin (an alternate programming language for developing android applications. Many renowned technology firms have started using Kotlin for developing their android applications such as Pinterest, Uber, Atlassian, Pivotal etc.), Java, and C++ languages"" using the Android software development kit, while using other languages is also possible. When thinking about the scope of Android Application Development in India (one of the fastest growing nations in the world as far as IT market is concerned) -- one of the major benefits of choosing android application development is astonishing job opportunities associated with it. Many IT firms and startups require android application developers who can create cost effective apps that are capable of delivering best user experience.</span>","['opensource', 'community']"
linux-commands-c-c-java-python-exercise-for-beginners-obooko_202104,"Linux Commands, C, C++, Java and Python Exercises For Beginners",M,"<span style=""color:rgb(95,99,104);font-family:Roboto, Arial, sans-serif;font-size:14px;letter-spacing:0.2px;background-color:rgb(255,255,255);"">An approachable manual for new and experienced programmers that introduces the programming languages C, C++, Java, and Python. This book is for all programmers, whether you are a novice or an experienced pro. It is designed for an introductory course that provides beginning engineering and computer science students with a solid foundation in the fundamental concepts of computer programming. It also offers valuable perspectives on important computing concepts through the development of programming and problem-solving skills using the languages C, C++, Java, and Python. The beginner will find its carefully paced exercises especially helpful. Of course, those who are already familiar with programming are likely to derive more benefits from this book. After reading this book you will find yourself at a moderate level of expertise in C, C++, Java and Python, from which you can take yourself to the next levels. The command-line interface is one of the nearly all well built trademarks of Linux. There exists an ocean of Linux commands, permitting you to do nearly everything you can be under the impression of doing on your Linux operating system. However, this, at the end of time, creates a problem: because of all of so copious commands accessible to manage, you don't comprehend where and at which point to fly and learn them, especially when you are a learner. If you are facing this problem, and are peering for a painless method to begin your command line journey in Linux, you've come to the right place-as in this book, we will launch you to a hold of well liked and helpful Linux commands. This book gives a thorough introduction to the C, C++, Java, and Python programming languages, covering everything from fundamentals to advanced concepts. It also includes various exercises that let you put what you learn to use in the real world.</span>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
beginners-guide-c-java-manjunath-obooko_202104,"C, C++, Java, Python, PHP, JavaScript and Linux For Beginners",M,"<div style=""border:0px;margin:0px;padding:0px;color:rgb(95,99,104);line-height:inherit;font-family:Roboto, Arial, sans-serif;font-size:14px;vertical-align:baseline;letter-spacing:0.2px;background-color:rgb(255,255,255);""><span class=""LKWyGd"" style=""border:0px;color:inherit;font-style:inherit;font-variant:inherit;font-weight:inherit;line-height:inherit;font-family:inherit;margin:0px;padding:0px;vertical-align:baseline;"">An ideal addition to your personal elibrary. With the aid of this indispensable reference book, you may quickly gain a grasp of Python, Java, JavaScript, C, C++, CSS, Data Science, HTML, LINUX and PHP. It can be challenging to understand the programming language's distinctive advantages and charms. Many programmers who are familiar with a variety of languages frequently approach them from a constrained perspective rather than enjoying their full expressivity. Some programmers incorrectly use Programmatic features, which can later result in serious issues. The programmatic method of writing programs—the ideal approach to use programming languages—is explained in this book. This book is for all programmers, whether you are a novice or an experienced pro. Its numerous examples and well paced discussions will be especially beneficial for beginners. Those who are already familiar with programming will probably gain more from this book, of course. I want you to be prepared to use programming to make a big difference.</span></div><div><span class=""LKWyGd"" style=""border:0px;color:inherit;font-style:inherit;font-variant:inherit;font-weight:inherit;line-height:inherit;font-family:inherit;margin:0px;padding:0px;vertical-align:baseline;""><br /></span></div>","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
the-java-language-specification-java-se-14-edition,"The Java Language Specification, Java SE 14 Edition",O,"The Java Language Specification, Java SE 14 Edition<br />",opensource
31-20656,JAVA and DART programming languages: Conceptual comparison,A,"This paper elaborates on the concepts of a new programming language 
“Dart”, which has been developed by Google and considered for future use. 
Here, we compare it to the most famous, real time, and updated language 
“Java”. This is to define similarities and differences between the two 
important languages, explain programs’ behavior, with a focus on 
investigating alternative implementation strategies and problem definitions. 
We used programming languages’ concepts and terminologies to compare between the main characteristics of the two languages, Dart &amp; Java.","['journals_contributions', 'journals']"
java-language,FOUNDATIONS OF JAVA PROGRAMMING FOR THE OOP OPTION OF THE IB COMPUTER SCIENCE EXAM,C,Java programming language tutorial,"['opensource', 'community']"
jre-8u271-windows-x64,Java SE Runtime Environment  Java SE Runtime Environment  - jre-8u271-windows-x64 - jre-8u271-windows-x64,O, Java SE Runtime Environment  - jre-8u271-windows-x64<br />,"['opensource_media', 'community']"
398-406_202108,Methods of simulation mathematical modeling of the Russian derivatives market in modern times,Unknown Author,"<p style=""margin:5px 0px;color:rgb(102,102,102);font-family:'PT Sans', sans-serif;font-size:17px;background-color:rgb(255,255,255);""><strong>Introduction.</strong> The paper is devoted to simulation modeling. Basic methods of the simulation mathematical modeling in the derivatives market are described. A group of realistic nonGaussian Levy processes that generalize the classical BlackScholes model is considered. The work objective is to study the most efficient methods of market forecasting, as well as the software implementation of the simulation mathematical modeling technique of the Russian derivatives market based on the Levy model. This research is relevant due to the demand for applications that simulate the dynamics of financial assets and evaluate options in realistic models of the derivatives market, allowing for jumps.</p><p style=""margin:5px 0px;color:rgb(102,102,102);font-family:'PT Sans', sans-serif;font-size:17px;background-color:rgb(255,255,255);""><strong>Materials and Methods.</strong> Basic methods for forecasting the derivatives market, methods for determining the volatility rate at a known option price, are considered. The most effective types of Levy processes for the simulation mathematical modeling of the Russian derivatives market at the present stage are highlighted. The possibilities of the Java language for the implementation of mathematical methods are considered.</p><p style=""margin:5px 0px;color:rgb(102,102,102);font-family:'PT Sans', sans-serif;font-size:17px;background-color:rgb(255,255,255);""><strong>Research Results.</strong> A program is developed in the Java programming language that implements the Levy mathematical model, which includes Gaussian and generalized Poisson processes. The program for calculating the mathematical method is created in the free integrated application development environment NetBeans IDE to work with any operating system.</p><p style=""margin:5px 0px;color:rgb(102,102,102);font-family:'PT Sans', sans-serif;font-size:17px;background-color:rgb(255,255,255);""><strong>Discussion and Conclusions.</strong> The result of the simulation mathematical modeling analysis has shown that the most efficient methods in the derivatives market are those based on realistic non-Gaussian Levy processes. The software implementation of such mathematical methods can be used for educational purposes. The developed application has demonstrated high quality and speed of calculations using software resources.</p>","['folkscanomy_academic', 'folkscanomy', 'additional_collections']"
61-60-20386-paper-id-238-edit-lia,Performance comparison of Java based parallel programming models,M,"Parallel programming has been implemented in many areas to solve various 
computational problem with the aim, to improve the performance and 
scalability of the software application. There are a few parallel programming 
models commonly used, namely, threads, and message passing (distributed) 
models. Furthermore, various APIs have been proposed to implement these 
models based on two popular languages, notably, C/C++ and Java. A few 
studies have been done to compare the performance of parallel programming 
models, specifically, pure versus hybrid model. However, most of existing 
comparisons targeted on MPI/OpenMP based on C/C++ language. In this 
paper, our aim is to explore the performance comparison between threads, 
message passing and hybrid model in Java, specifically using Java 
multithreading and MPJ Express. For this reason, we have chosen a problem 
called word count occurrence which is significant in Natural Language 
Processing and use it to design and implement the parallel programs. We 
then present their performance and discuss the results. ","['journals_contributions', 'journals']"
the-java-language-specification-java-se-13-edition,"The Java Language Specification, Java SE 13 Edition",O,"The Java Language Specification, Java SE 13 Edition",opensource
doi-10.11591eei.v8i1.1447,Haze alarm visual map (HazeViz): an intelligent haze forecaster,B,"The haze problem has intensified in recent years. The particulate matter of
less than 10 microns in size, PM10 is the dominant air pollutant during haze.
In this paper, we present the development of HazeViz, a Haze Alarm Visual
Map forecaster, which is based on PM10. The intelligent web application
allows users to visualize the pattern of PM10 in a region, forecasts PM10
value and alarms bad haze condition. HazeViz was developed using HTML,
Java Script, PHP, MySQL, R Programming and Fusionex Giant. The
SARIMA statistical forecasting models that underlie the application were
developed using R. The PM10 trend analysis, and the consequential map and
chart visualizations were implemented on the Fusionex GIANT Big Data
Analytics platform. HazeViz was developed in the context of the Klang
Valley, our case study. The dataset was obtained from Department of
Environment Malaysia, which contains a total of 157,680 hourly PM10 data
for six stations in Klang Valley, for the years 2013 to 2015. The SARIMA
models were developed using maximum daily PM10 data for 2013 and 2014,
and the 2015 data was used to validate the model. The fitting models were
determined based on the Mean Absolute Error (MAE), Root Mean Square
Error (RMSE) and Mean Absolute Percentage Error (MAPE). While the
selected models were implemented in HazeViz and successfully deployed on
the web, the results show that the selected models have MAPE ranging
between 35 percent and 45 percent, which implies that the models are still far
from robust. Future work can consider augmented SARIMA models that can
yield improved results. ","['folkscanomy_academic', 'folkscanomy', 'additional_collections']"
the-java-language-specification-java-se-12-edition,"The Java Language Specification, Java SE 12 Edition",O,"The Java Language Specification, Java SE 12 Edition <br />",opensource
pemrograman-berorientasi-objek-menggunakan-java-net-beans,Pemrograman Berorientasi Objek Menggunakan Java & Net Beans,D,"<span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Pemrograman Berorientasi Objek Menggunakan Java & NetBeans Penulis :</span><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Daniel Swanjaya, M.Kom. </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Intan Nur Farida, M.Kom. </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);""><br /></span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 1 : Pendahuluan </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 2 : Dasar Java </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 3 : Struktur Kontrol </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 4 : Method </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 5 : Pemrograman Berorientasi Objek </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 6 : Exception Handling, Java Util, Operasi File, Penanganan Waktu & Java Math </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab7 : Graphical User Interface </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 8 : Multi Document Interface </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 9 : Java Database Connectivity </span></div><div><span style=""color:rgb(28,38,61);font-family:'Source Sans Pro', sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Bab 10 : Java Report</span></div>","['booksbylanguage_indonesian', 'booksbylanguage']"
ProgremingIsLikePlayingAGameConverted,Progreming Is Like Playing A Game Converted,M,Its a Java Programming book<div><br /></div>,"['opensource', 'community']"
mccl_10.1016_j.envsoft.2018.11.012,"The MESSAGEix Integrated Assessment Model and the ix modeling platform (ixmp): An open framework for integrated and cross-cutting analysis of energy, climate, the environment, and sustainable development",Daniel Huppmann,"The MESSAGE Integrated Assessment Model (IAM) developed by IIASA has been a central tool of energy-environment-economy systems analysis in the global scientific and policy arena. It played a major role in the Assessment Reports of the Intergovernmental Panel on Climate Change (IPCC); it provided marker scenarios of the Representative Concentration Pathways (RCPs) and the Shared Socio-Economic Pathways (SSPs); and it underpinned the analysis of the Global Energy Assessment (GEA). Alas, to provide relevant analysis for current and future challenges, numerical models of human and earth systems need to support higher spatial and temporal resolution, facilitate integration of data sources and methodologies across disciplines, and become open and transparent regarding the underlying data, methods, and the scientific workflow. In this manuscript, we present the building blocks of a new framework for an integrated assessment modeling platform; the “ecosystem” comprises: i) an open-source GAMS implementation of the MESSAGE energy++ system model integrated with the MACRO economic model; ii) a Java/database back-end for version-controlled data management, iii) interfaces for the scientific programming languages Python & R for efficient input data and results processing workflows; and iv) a web-browser-based user interface for model/scenario management and intuitive “drag-and-drop” visualization of results. The framework aims to facilitate the highest level of openness for scientific analysis, bridging the need for transparency with efficient data processing and powerful numerical solvers. The platform is geared towards easy integration of data sources and models across disciplines, spatial scales and temporal disaggregation levels. All tools apply best-practice in collaborative software development, and comprehensive documentation of all building blocks and scripts is generated directly from the GAMS equations and the Java/Python/R source code.","['mendeley_climate_change_library', 'folkscanomy_academic', 'folkscanomy', 'additional_collections']"
analysisofdatadr1094561353,ANALYSIS OF DATA-DRIVEN WEB APPLICATION VERSUS PROCESS-DRIVEN APPLICATION,A,"Enterprise applications are a type of software used in organizations to provide the functions for one or more business domains. The standard approach to developing enterprise application is using common programming platforms like Java EE or Microsoft .NET. However, in recent years new enterprise applications development platforms called Business Process Management Systems (BPMSs) have emerged. BPMS providers claim that their technologies allow organizations to develop enterprise applications faster than by using traditional applications development platforms. No comprehensive comparison of using the two approaches has yet been conducted. The purpose of this study is to compare two enterprise application features, persistence and messaging, available in both technologies—here, Java EE and Bonita BPM. The findings of this study revealed that developing applications using Bonita BPM takes less effort than using Java EE. However, facilitating applications development with Bonita BPM comes with a cost, which is that it limits the developer's ability to use specific preconfigured persistence and messaging technology.","['navalpostgraduateschoollibrary', 'fedlink']"
ChinaXiv-201809.00131V1,API文档缺陷自动检测和修复方法,王长志,"<div class=""hd"">
 <h1>
  
  API文档缺陷自动检测和修复方法
 </h1>
 <div class=""flex"" style=""border:0px;padding-bottom:0px;"">
 </div>
 <div class=""bd"" style=""border-bottom:1px solid #ced6e0;"">
  <ul style=""margin-top:0px;"">
   <li>
    <b>
     作者：
    </b>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E7%8E%8B%E9%95%BF%E5%BF%97"" style=""color:#3060cc;"" rel=""nofollow"">
     王长志
    </a>
    <sup style=""margin-left:0px;"">
     1
    </sup>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E5%91%A8%E5%AE%87"" style=""color:#3060cc;"" rel=""nofollow"">
     周宇
    </a>
    <sup style=""margin-left:0px;"">
     1,2
    </sup>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E9%97%AB%E9%91%AB"" style=""color:#3060cc;"" rel=""nofollow"">
     闫鑫
    </a>
    <sup style=""margin-left:0px;"">
     1
    </sup>
   </li>
   <li>
    <b>
     作者单位：
    </b>
    <div style=""margin-left:70px;margin-top:-26px;"">
     <div>
      1.
      <a href=""https://chinaxiv.org/user/search.htm?field=affication&amp;value=%E5%8D%97%E4%BA%AC%E8%88%AA%E7%A9%BA%E8%88%AA%E5%A4%A9%E5%A4%A7%E5%AD%A6%20%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E5%AD%A6%E9%99%A2"" style=""color:#3060cc;"" rel=""nofollow"">
       南京航空航天大学 计算机科学与技术学院
      </a>
     </div>
     <div>
      2.
      <a href=""https://chinaxiv.org/user/search.htm?field=affication&amp;value=%E5%8D%97%E4%BA%AC%E5%A4%A7%E5%AD%A6%20%E8%BD%AF%E4%BB%B6%E6%96%B0%E6%8A%80%E6%9C%AF%E5%9B%BD%E5%AE%B6%E9%87%8D%E7%82%B9%E5%AE%9E%E9%AA%8C%E5%AE%A4"" style=""color:#3060cc;"" rel=""nofollow"">
       南京大学 软件新技术国家重点实验室
      </a>
     </div>
    </div>
   </li>
   <li>
    <b>
     提交时间：
    </b>
    2018-09-13
   </li>
  </ul>
 </div>
 <div class=""bd"" style=""margin-top:15px;"">
  <p style=""color:#333;"">
   <b>
    摘要:
   </b>
   应用程序编程接口(application programming interface，API)在软件开发中起着非常关键的作用，而API文档的质量会严重影响开发人员对API的使用。为了完善API文档，提出了基于程序静态分析和自然语言处理的自动检测和修复API文档缺陷的方法，该方法能自动检测和修复API文档缺陷。实验中，缺陷检测结果的准确率和召回率分别达到74.6%和81.4%，能够较为准确地检测到java API的文档缺陷。在进一步的实验中，还对API文档的修复功能进行了评估，结果表明生成的文档正确且简洁，可以有效地修复API文档缺陷。
  </p>
  <p style=""color:#333;"">
   <b>
    Abstract:
   </b>
   Application Programming Interface (API) play an important role with respect to software development. Particularly, the quality of API documentation tends to have a severe impact on the use of APIs for developers. In this paper, for improving API documentation, a novel approach is proposed to automatically detect and repair defective API documentation by adopting techniques of program static analysis and natural language processing. Across empirical studies, the proposed approach gives a precision of 74.6% and a recall of 81.4%, which demonstrates that the approach can accurately detect the defective documentation in java APIs. For further experiments, the function of repair recommendation for API documentation is evaluated. The results indicate that the generated recommendations are correct and succinct, and can repair API documentation effectively.
  </p>
  <div class=""brdge"">
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=Java%20API%20%E6%96%87%E6%A1%A3"" rel=""nofollow"">
     Java API 文档
    </a>
   </span>
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E7%A8%8B%E5%BA%8F%E5%BC%82%E5%B8%B8"" rel=""nofollow"">
     程序异常
    </a>
   </span>
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E4%BF%AE%E5%A4%8D%E5%BB%BA%E8%AE%AE"" rel=""nofollow"">
     修复建议
    </a>
   </span>
  </div>
  
  <ul>
   <li>
    <b>
     期刊：
    </b>
    <a rel=""nofollow"">
     计算机应用研究
    </a>
   </li>
   <li>
    <b>
     分类：
    </b>
    <a href=""https://chinaxiv.org/user/search.htm?field=domain&amp;value=243"" rel=""nofollow"">
     计算机科学
    </a>
    &gt;&gt;
    <a href=""https://chinaxiv.org/user/search.htm?field=subject&amp;value=244"" rel=""nofollow"">
     计算机科学的集成理论
    </a>
   </li>
   <li>
    <b>
     引用：
    </b>
    <a href=""https://chinaxiv.org/abs/201809.00131"" rel=""nofollow"">
     <font color=""#0000FF"">
      ChinaXiv:201809.00131
     </font>
    </a>
    (或此版本
    <a href=""https://chinaxiv.org/abs/201809.00131v1"" rel=""nofollow"">
     <font color=""#0000FF"">
      ChinaXiv:201809.00131V1
     </font>
    </a>
    )
    <br />
    <a style=""margin-left:45px;"" rel=""nofollow"">
     doi:10.12074/201809.00131
    </a>
    <br />
    <a href=""https://www.cstr.cn/CSTR:32003.36.ChinaXiv.201809.00131.V1"" style=""margin-left:45px;"" rel=""nofollow"">
     <font color=""#0000FF"">
      CSTR:32003.36.ChinaXiv.201809.00131.V1
     </font>
    </a>
   </li>
   <li>
    <b>
     推荐引用方式：
    </b>
    <span>
     王长志,周宇,闫鑫.(2018).API文档缺陷自动检测和修复方法.计算机应用研究.[ChinaXiv:201809.00131]
    </span>
   </li>
  </ul>
 </div>
 <div class=""ft"">
  <h4>
   <span>
    版本历史
   </span>
  </h4>
  <table style=""font-size:14px;"">
   <tr>
    <td>
     <b>
      [V1]
     </b>
    </td>
    <td>
     2018-09-13 17:14:46
    </td>
    <td>
     ChinaXiv:201809.00131V1
    </td>
    <td>
     <a class=""btn"" href=""https://chinaxiv.org/user/download.htm?id=26599"" rel=""nofollow"">
      下载全文
     </a>
    </td>
   </tr>
  </table>
 </div>
</div>
","['chinaxivmirror', 'journals']"
IDOL-OC-AJ-MAY-2018-QP,Advanced Java (Elective – I) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['opensource', 'community']"
IDOL-OC-BPR-MAY-2018-QP,BPR (Elective – II) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['opensource', 'community']"
IDOL-OC-ERP-MAY-2018-QP,ERP Systems (Elective – II) (May – 2018) [IDOL - Old Course | Question Paper],K,"May - 2018, question papers, old question paper, mumbai university, bscit, tybscit, tybscit semester v, semester v question paper, old course, semester v old course, old course question paper, mumbai university old course, Internet Security, SQL - 2, Visual Basic - 6, Elective - I, Advanced Java, Embedded Systems And Programming, Multimedia, Web Design and Internet Based Applications, Elective - II, BPR, ERP Systems, GIS, Management Information Systems","['folkscanomy_computer_inbox', 'folkscanomy_computer', 'folkscanomy', 'additional_collections']"
